buttonGroup,buttonIDs
"Marston, Reitz","MAR, REI"
"1, 2, 3, 4, 5","M1, M2, M3, M4, M5"
"Basement, Plaza, Ground, 1, 2, 3","RB, RP, RG, R1, R2, R3"
